date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2012-06-29,13.74,14.4,12.93,12.66,62304.49,-0.76,-5.55,13.328,14.011,14.915,81808.47,138808.72,230542.63,28.98
2012-05-31,13.32,14.4,13.69,12.8,55119.97,0.56,4.26,13.276,14.721,15.081,85364.21,187859.04,244562.48,25.64
2012-04-27,12.62,14.18,13.13,12.61,58265.05,0.52,4.12,13.218,15.17,15.207,100473.57,262756.48,261784.53,27.1
2012-03-30,14.03,15.84,12.61,12.51,110328.65,-1.67,-11.7,13.77,15.415,15.415,145430.56,282136.47,282136.47,51.32
2012-02-29,12.64,14.92,14.28,12.44,123024.18,1.61,12.71,14.57,15.727,15.727,173727.6,301226.23,301226.23,57.22
2012-01-31,13.58,13.6,12.67,11.72,80083.2,-0.73,-5.45,14.694,15.908,15.908,195808.97,323501.49,323501.49,37.25
2011-12-30,16.49,16.76,13.4,13.23,130666.77,-2.49,-15.67,16.166,16.37,16.37,290353.86,358275.53,358275.53,60.78
2011-11-30,16.5,18.4,15.89,15.5,283050.0,-0.72,-4.33,17.122,16.865,16.865,425039.4,396210.32,396210.32,131.65
2011-10-31,14.93,16.89,16.61,14.65,251813.84,1.71,11.48,17.06,17.06,17.06,418842.39,418842.39,418842.39,117.12
2011-09-30,19.7,19.89,14.9,14.48,233431.02,-5.13,-25.61,17.173,17.173,17.173,460599.52,460599.52,460599.52,108.57
2011-08-31,18.0,21.28,20.03,15.65,552807.69,1.85,10.18,17.93,17.93,17.93,536322.36,536322.36,536322.36,321.4
2011-07-29,15.7,18.53,18.18,15.6,804094.44,2.6,16.69,16.88,16.88,16.88,528079.69,528079.69,528079.69,467.5
2011-06-30,16.11,16.8,15.58,14.91,252064.94,4.73,42.73,15.58,15.58,15.58,252064.94,252064.94,252064.94,146.55
