datetime,datetime,open,high,low,close,volume,amount
2016-02-08 03:00:00,2016-02-08 03:00:00,1167.983,1168.273,1164.693,1164.933,9.99999999999e+11,0.0
2016-02-08 04:00:00,2016-02-08 04:00:00,1164.913,1166.203,1164.233,1165.023,9.99999999999e+11,0.0
2016-02-08 05:00:00,2016-02-08 05:00:00,1165.083,1166.353,1164.373,1165.803,9.99999999999e+11,0.0
2016-02-08 06:00:00,2016-02-08 06:00:00,1165.823,1168.533,1165.473,1166.253,9.99999999999e+11,0.0
2016-02-08 07:00:00,2016-02-08 07:00:00,1166.233,1166.533,1165.023,1165.723,9.99999999999e+11,0.0
2016-02-08 08:00:00,2016-02-08 08:00:00,1165.733,1166.043,1164.613,1165.973,9.99999999999e+11,0.0
2016-02-08 09:00:00,2016-02-08 09:00:00,1165.923,1166.053,1164.243,1165.343,9.99999999999e+11,0.0
2016-02-08 10:00:00,2016-02-08 10:00:00,1165.353,1168.393,1164.673,1168.253,9.99999999999e+11,0.0
2016-02-08 11:00:00,2016-02-08 11:00:00,1168.243,1173.763,1168.073,1173.353,9.99999999999e+11,0.0
2016-02-08 12:00:00,2016-02-08 12:00:00,1173.383,1176.653,1172.223,1175.803,9.99999999999e+11,0.0
2016-02-08 13:00:00,2016-02-08 13:00:00,1175.823,1176.883,1171.593,1175.253,9.99999999999e+11,0.0
2016-02-08 14:00:00,2016-02-08 14:00:00,1175.183,1183.013,1174.933,1181.963,9.99999999999e+11,0.0
2016-02-08 15:00:00,2016-02-08 15:00:00,1182.133,1183.443,1178.053,1181.573,9.99999999999e+11,0.0
2016-02-08 16:00:00,2016-02-08 16:00:00,1181.703,1192.643,1181.363,1191.493,9.99999999999e+11,0.0
2016-02-08 17:00:00,2016-02-08 17:00:00,1191.603,1199.053,1189.383,1193.033,9.99999999999e+11,0.0
2016-02-08 18:00:00,2016-02-08 18:00:00,1193.023,1197.593,1192.903,1193.853,9.99999999999e+11,0.0
2016-02-08 19:00:00,2016-02-08 19:00:00,1193.833,1195.793,1191.373,1195.013,9.99999999999e+11,0.0
2016-02-08 20:00:00,2016-02-08 20:00:00,1194.943,1200.773,1194.883,1200.593,9.99999999999e+11,0.0
2016-02-08 21:00:00,2016-02-08 21:00:00,1200.583,1200.813,1194.063,1195.093,9.99999999999e+11,0.0
2016-02-08 22:00:00,2016-02-08 22:00:00,1195.093,1195.283,1189.243,1190.113,9.99999999999e+11,0.0
2016-02-08 23:00:00,2016-02-08 23:00:00,1190.143,1191.003,1188.253,1188.958,9.99999999999e+11,0.0
2016-02-09 01:00:00,2016-02-09 01:00:00,1188.72,1193.333,1188.073,1190.933,9.99999999999e+11,0.0
2016-02-09 02:00:00,2016-02-09 02:00:00,1190.853,1193.503,1190.523,1192.653,9.99999999999e+11,0.0
2016-02-09 03:00:00,2016-02-09 03:00:00,1192.653,1194.203,1192.223,1193.323,9.99999999999e+11,0.0
2016-02-09 04:00:00,2016-02-09 04:00:00,1193.323,1194.093,1191.263,1193.483,9.99999999999e+11,0.0
2016-02-09 05:00:00,2016-02-09 05:00:00,1193.493,1195.433,1191.793,1192.723,9.99999999999e+11,0.0
2016-02-09 06:00:00,2016-02-09 06:00:00,1192.733,1193.613,1192.143,1192.733,9.99999999999e+11,0.0
2016-02-09 07:00:00,2016-02-09 07:00:00,1192.683,1193.333,1190.683,1191.283,9.99999999999e+11,0.0
2016-02-09 08:00:00,2016-02-09 08:00:00,1191.273,1193.013,1190.943,1192.843,9.99999999999e+11,0.0
2016-02-09 09:00:00,2016-02-09 09:00:00,1192.863,1193.773,1185.743,1186.313,9.99999999999e+11,0.0
2016-02-09 10:00:00,2016-02-09 10:00:00,1186.273,1194.773,1185.593,1188.273,9.99999999999e+11,0.0
2016-02-09 11:00:00,2016-02-09 11:00:00,1188.263,1189.893,1186.743,1189.253,9.99999999999e+11,0.0
